x,r
49.86847389,38.2247899
50.15483849,38.32230804
50.44126647,38.41963988
50.7277577,38.51678539
51.01431206,38.61374451
51.30092944,38.7105172
51.58760971,38.80710341
51.87435276,38.90350311
52.16115846,38.99971625
52.44802669,39.09574278
52.73495734,39.19158267
53.02195028,39.28723586
53.30900539,39.38270232
53.59612255,39.477982
53.88330164,39.57307487
54.17054254,39.66798087
54.45784513,39.76269997
54.74520928,39.85723213
55.03263488,39.95157731
55.3201218,40.04573546
55.60766993,40.13970655
55.89527913,40.23349054
56.18294929,40.32708738
56.47068029,40.42049705
56.758472,40.51371949
57.0463243,40.60675467
57.33423708,40.69960255
57.6222102,40.7922631
57.91024355,40.88473627
58.198337,40.97702204
58.48649043,41.06912036
58.77470371,41.16103119
59.06297674,41.25275451
59.35130937,41.34429026
59.63970149,41.43563843
59.92815298,41.52679897
60.21666371,41.61777185
60.50523356,41.70855703
60.79386241,41.79915447
61.08255013,41.88956416
61.3712966,41.97978604
61.66010169,42.0698201
61.94896528,42.15966628
62.23788726,42.24932457
62.52686748,42.33879493
62.81590584,42.42807733
63.1050022,42.51717173
63.39415644,42.6060781
63.68336844,42.69479642
63.97263808,42.78332665
64.26196522,42.87166876
64.55134974,42.95982273
64.84079153,43.04778851
65.13029045,43.13556609
65.41984638,43.22315542
65.70945919,43.3105565
65.99912877,43.39776927
66.28885498,43.48479373
66.5786377,43.57162983
66.86847681,43.65827755
67.15837217,43.74473687
67.44832367,43.83100776
67.73833118,43.91709018
68.02839458,44.00298412
68.31851373,44.08868955
68.60868851,44.17420644
68.8989188,44.25953476
69.18920448,44.3446745
69.4795454,44.42962563
69.76994146,44.51438812
70.06039252,44.59896194
70.35089846,44.68334708
70.64145915,44.76754352
70.93207446,44.85155122
71.22274427,44.93537017
71.51346846,45.01900034
71.80424689,45.10244171
72.09507944,45.18569426
72.38596598,45.26875797
72.67690639,45.35163282
72.96790054,45.43431878
73.25894831,45.51681584
73.55004956,45.59912397
73.84120417,45.68124316
74.13241201,45.76317338
74.42367296,45.84491462
74.71498689,45.92646686
75.00635367,46.00783008
75.29777317,46.08900426
75.58924527,46.16998938
75.88076985,46.25078543
76.17234676,46.33139238
76.46397589,46.41181023
76.75565711,46.49203895
77.04739029,46.57207853
77.3391753,46.65192895
77.63101202,46.7315902
77.92290032,46.81106226
78.21484007,46.89034512
78.50683114,46.96943876
78.7988734,47.04834317
79.09096673,47.12705833
79.383111,47.20558423
79.67530609,47.28392085
79.96755185,47.36206819
80.25984818,47.44002623
80.55219492,47.51779496
80.84459197,47.59537437
81.13703919,47.67276444
81.42953646,47.74996516
81.72208363,47.82697653
82.0146806,47.90379853
82.30732722,47.98043114
82.60002337,48.05687437
82.89276892,48.1331282
83.18556375,48.20919262
83.47840772,48.28506763
83.77130071,48.3607532
84.06424259,48.43624934
84.35723322,48.51155604
84.65027248,48.58667329
84.94336025,48.66160108
85.23649639,48.7363394
85.52968077,48.81088826
85.82291327,48.88524763
86.11619376,48.95941751
86.40952211,49.03339791
86.70289818,49.10718881
86.99632185,49.1807902
87.289793,49.25420209
87.58331149,49.32742447
87.87687719,49.40045733
88.17048998,49.47330067
88.46414972,49.54595449
88.75785629,49.61841878
89.05160956,49.69069354
89.34540939,49.76277877
89.63925567,49.83467446
89.93314825,49.90638062
90.22708702,49.97789724
90.52107184,50.04922431
90.81510258,50.12036185
91.10917912,50.19130984
91.40330131,50.2620683
91.69746905,50.33263721
91.99168219,50.40301657
