x,r
-78.32163876,52.98095555
-78.01412302,52.91770305
-77.70680737,52.85348541
-77.39969485,52.78830326
-77.09278849,52.72215724
-76.7860913,52.655048
-76.47960632,52.58697621
-76.17333657,52.51794253
-75.86728505,52.44794765
-75.5614548,52.37699226
-75.25584882,52.30507705
-74.95047013,52.23220274
-74.64532173,52.15837004
-74.34040663,52.08357968
-74.03572785,52.00783241
-73.73128838,51.93112895
-73.42709122,51.85347008
-73.12313937,51.77485655
-72.81943583,51.69528914
-72.51598359,51.61476864
-72.21278565,51.53329584
-71.90984498,51.45087154
-71.60716458,51.36749655
-71.30474743,51.2831717
-71.00259652,51.19789782
-70.70071481,51.11167575
-70.39910528,51.02450633
-70.09777092,50.93639043
-69.79671468,50.84732892
-69.49593954,50.75732267
-69.19544845,50.66637257
-68.89524439,50.57447952
-68.59533031,50.48164442
-68.29570916,50.38786819
-67.99638391,50.29315175
-67.69735749,50.19749603
-67.39863287,50.10090199
-67.10021297,50.00337057
-66.80210075,49.90490272
-66.50429914,49.80549943
-66.20681108,49.70516168
-65.9096395,49.60389044
-65.61278733,49.50168673
-65.31625749,49.39855154
-65.02005291,49.29448589
-64.72417651,49.18949081
-64.4286312,49.08356734
-64.13341989,48.97671652
-63.83854551,48.8689394
-63.54401094,48.76023704
-63.24981911,48.65061051
-62.95597289,48.54006091
-62.6624752,48.42858931
-62.36932893,48.31619681
-62.07653696,48.20288452
-61.78410218,48.08865356
-61.49202747,47.97350506
-61.20031572,47.85744015
-60.90896979,47.74045997
-60.61799256,47.62256568
-60.3273869,47.50375844
-60.03715566,47.38403941
-59.74730173,47.26340979
-59.45782794,47.14187076
-59.16873715,47.01942351
-58.88003221,46.89606926
-58.59171597,46.77180921
-58.30379127,46.64664461
-58.01626095,46.52057667
-57.72912784,46.39360664
-57.44239477,46.26573577
-57.15606457,46.13696532
-56.87014005,46.00729657
-56.58462405,45.87673079
-56.29951937,45.74526926
-56.01482882,45.61291329
-55.73055521,45.47966418
-55.44670134,45.34552323
-55.16327001,45.21049178
-54.88026401,45.07457115
-54.59768614,44.93776269
-54.31553917,44.80006774
-54.03382588,44.66148765
-53.75254907,44.52202381
-53.47171149,44.38167757
-53.19131592,44.24045033
-52.91136511,44.09834347
-52.63186184,43.9553584
-52.35280884,43.81149652
-52.07420889,43.66675926
-51.79606471,43.52114803
-51.51837905,43.37466428
-51.24115466,43.22730945
-50.96439425,43.079085
-50.68810056,42.92999237
-50.41227632,42.78003305
-50.13692424,42.6292085
-49.86204703,42.47752023
-49.58764741,42.32496971
-49.31372808,42.17155847
-49.04029173,42.017288
-48.76734107,41.86215982
-48.49487879,41.70617548
-48.22287929,41.54938543
-47.95098746,41.3924086
-47.67909562,41.23543178
-47.40720379,41.07845495
-47.13531196,40.92147813
-46.86342012,40.76450131
-46.59152829,40.60752448
-46.31963645,40.45054766
-46.04774462,40.29357083
-45.77585278,40.13659401
-45.50396095,39.97961719
-45.23206911,39.82264036
-44.96017728,39.66566354
-44.68828544,39.50868672
-44.41639361,39.35170989
-44.14450177,39.19473307
-43.87260994,39.03775624
-43.6007181,38.88077942
-43.32882627,38.7238026
-43.05693444,38.56682577
-42.7850426,38.40984895
-42.51315077,38.25287212
-42.24125893,38.0958953
-41.9693671,37.93891848
-41.69747526,37.78194165
-41.42558343,37.62496483
-41.15369159,37.467988
-40.88179976,37.31101118
-40.60990792,37.15403436
-40.33801609,36.99705753
-40.06612425,36.84008071
-39.79423242,36.68310388
-39.52234059,36.52612706
-39.25044875,36.36915024
-38.97855692,36.21217341
-38.70666508,36.05519659
-38.43477325,35.89821976
-38.16288141,35.74124294
-37.89098958,35.58426612
-37.61909774,35.42728929
-37.34720591,35.27031247
-37.07531407,35.11333565
-36.80342224,34.95635882
-36.5315304,34.799382
-36.25963857,34.64240517
-35.98774673,34.48542835
-35.7158549,34.32845153
-35.44396307,34.1714747
-35.17207123,34.01449788
-34.9001794,33.85752105
-34.62828756,33.70054423
-34.35639573,33.54356741
-34.08450389,33.38659058
-33.81261206,33.22961376
-33.54072022,33.07263693
-33.26882839,32.91566011
-32.99693655,32.75868329
-32.72504472,32.60170646
-32.45315288,32.44472964
-32.18126105,32.28775281
-31.90936921,32.13077599
-31.63747738,31.97379917
-31.36558555,31.81682234
-31.09369371,31.65984552
-30.82180188,31.5028687
-30.54991004,31.34589187
-30.27801821,31.18891505
-30.00612637,31.03193822
-29.73423454,30.8749614
-29.4623427,30.71798458
-29.19045087,30.56100775
-28.91855903,30.40403093
-28.6466672,30.2470541
-28.37477536,30.09007728
-28.10288353,29.93310046
-27.8309917,29.77612363
-27.55909986,29.61914681
-27.28720803,29.46216998
-27.01531619,29.30519316
-26.74342436,29.14821634
-26.47153252,28.99123951
-26.19964069,28.83426269
-25.92774885,28.67728586
-25.65585702,28.52030904
-25.38396518,28.36333222
-25.11207335,28.20635539
-24.84018151,28.04937857
-24.56828968,27.89240174
-24.29639784,27.73542492
-24.02450601,27.5784481
-23.75261418,27.42147127
-23.48072234,27.26449445
-23.20883051,27.10751763
-22.93693867,26.9505408
-22.66504684,26.79356398
-22.393155,26.63658715
-22.12126317,26.47961033
-21.84937133,26.32263351
-21.5774795,26.16565668
-21.30558766,26.00867986
-21.03369583,25.85170303
-20.76180399,25.69472621
-20.48991216,25.53774939
-20.21802033,25.38077256
-19.94612849,25.22379574
-19.67423666,25.06681891
-19.40234482,24.90984209
-19.13045299,24.75286527
-18.85856115,24.59588844
-18.58666932,24.43891162
-18.31477748,24.28193479
-18.04288565,24.12495797
-17.77099381,23.96798115
-17.49910198,23.81100432
-17.22721014,23.6540275
-16.95531831,23.49705068
-16.68342647,23.34007385
-16.41153464,23.18309703
-16.13964281,23.0261202
-15.86775097,22.86914338
-15.59585914,22.71216656
-15.3239673,22.55518973
-15.05207547,22.39821291
-14.78018363,22.24123608
-14.5082918,22.08425926
-14.23639996,21.92728244
-13.96450813,21.77030561
-13.69261629,21.61332879
-13.42072446,21.45635196
-13.1481277,21.30060584
-12.87373697,21.14804276
-12.59757625,20.9987075
-12.31968351,20.85262058
-12.04009695,20.7098021
-11.75885501,20.57027169
-11.47599636,20.43404854
-11.19155989,20.30115137
-10.9055847,20.17159845
-10.61811013,20.0454076
-10.32917568,19.92259617
-10.03882108,19.80318104
-9.747086262,19.68717864
-9.454011328,19.5746049
-9.159636573,19.46547531
-8.864002472,19.35980487
-8.567149671,19.25760811
-8.269118982,19.15889908
-7.969951383,19.06369135
-7.669688005,18.97199801
-7.368370132,18.88383168
