x,r
-148.2826459,45
-147.7000657,45
-147.1174855,45
-146.5349052,45
-145.952325,45
-145.3697448,45
-144.7871646,45
-144.2045844,45
-143.6220041,45
-143.0394239,45
-142.4568437,45
-141.8742635,45
-141.2916832,45
-140.709103,45
-140.1265228,45
-139.5439426,45
-138.9613624,45
-138.3787821,45
-137.7962019,45
-137.2136217,45
-136.6310415,45
-136.0484613,45
-135.465881,45
-134.8833008,45
-134.3007206,45
-133.7181404,45
-133.1355601,45
-132.5529799,45
-131.9703997,45
-131.3878195,45
-130.8052393,45
-130.222659,45
-129.6400788,45
-129.0574986,45
-128.4749184,45
-127.8923382,45
-127.3097579,45
-126.7271777,45
-126.1445975,45
-125.5620173,45
-124.979437,45
-124.3968568,45
-123.8142766,45
-123.2316964,45
-122.6491162,45
-122.0665359,45
-121.4839557,45
-120.9013755,45
-120.3187953,45
-119.7362151,45
-119.1536348,45
-118.5710546,45
-117.9884744,45
-117.4058942,45
-116.8233139,45
-116.2407337,45
-115.6581535,45
-115.0755733,45
-114.4929931,45
-113.9104128,45
-113.3278326,45
-112.7452524,45
-112.1626722,45
-111.580092,45
-110.9975117,45
-110.4149315,45
-109.8323513,45
-109.2497711,45
-108.6671908,45
-108.0846106,45
-107.5020304,45
-106.9194502,45
-106.33687,45
-105.7542897,45
-105.1717095,45
-104.5891293,45
-104.0065491,45
-103.4239689,45
-102.8413886,45
-102.2588084,45
-101.6762282,45
-101.093648,45
-100.5110677,45
-99.92848752,45
-99.3459073,45
-98.76332708,45
-98.18074686,45
-97.59816664,45
-97.01558641,45
-96.43300619,45
-95.85042597,45
-95.26784575,45
-94.68526553,45
-94.10268531,45
-93.52010509,45
-92.93752486,45
-92.35494464,45
-91.77236442,45
-91.1897842,45
-90.60720398,45
-90.02462376,45
-89.44204354,45
-88.85946331,45
-88.27688309,45
-87.69430287,45
-87.11172265,45
-86.52914243,45
-85.94656221,45
-85.36398199,45
-84.78140176,45
-84.19882181,44.99968333
-83.616251,44.99652022
-83.0337085,44.98996324
-82.45121409,44.98001262
-81.86878753,44.96666868
-81.2864486,44.94993189
-80.70421705,44.92980281
-80.12211265,44.90628213
-79.54015516,44.87937063
-78.95836432,44.84906925
-78.37675988,44.815379
-77.79536159,44.77830103
-77.21418916,44.73783659
-76.63326234,44.69398707
-76.05260083,44.64675394
-75.47222435,44.59613882
-74.89215258,44.54214341
-74.31240523,44.48476956
-73.73300196,44.42401921
-73.15396244,44.35989441
-72.57530632,44.29239736
-71.99705325,44.22153033
-71.41922284,44.14729574
-70.84183471,44.0696961
-70.26490846,43.98873405
-69.68846366,43.90441233
-69.11251989,43.81673381
-68.53709668,43.72570146
-67.96221358,43.63131837
-67.38789008,43.53358775
-66.81414568,43.43251291
-66.24099986,43.32809728
-65.66847207,43.22034441
-65.09658174,43.10925796
-64.52534827,42.99484168
-63.95479106,42.87709948
-63.38492948,42.75603534
-62.81578285,42.63165337
-62.24737051,42.50395779
-61.67971173,42.37295295
-61.1128258,42.23864327
-60.54673194,42.10103333
-59.98144937,41.96012779
-59.41699727,41.81593144
-58.85339481,41.66844917
-58.29066111,41.51768598
-57.72881528,41.36364699
-57.16787637,41.20633743
-56.60786343,41.04576265
-56.04879546,40.88192808
-55.49069145,40.71483929
-54.93357033,40.54450195
-54.37745101,40.37092184
-53.82235236,40.19410485
-53.26829323,40.01405699
-52.71529241,39.83078437
-52.16336869,39.6442932
-51.61254079,39.45458981
-51.0628274,39.26168064
-50.51424718,39.06557225
-49.96681876,38.86627128
-49.42056071,38.66378451
-48.87549157,38.45811879
-48.33162984,38.24928112
-47.78899398,38.03727858
-47.2476024,37.82211837
-46.70747349,37.60380778
-46.16862557,37.38235423
-45.63107693,37.15776524
-45.09484582,36.93004843
-44.55995043,36.69921152
-44.02640892,36.46526235
-43.4942394,36.22820886
-42.96345993,35.98805909
-42.43408853,35.74482121
-41.90593707,35.49894421
-41.37794008,35.25273517
-40.84994308,35.00652612
-40.32194609,34.76031708
-39.7939491,34.51410804
-39.26595211,34.267899
-38.73795512,34.02168996
-38.20995813,33.77548092
-37.68196114,33.52927188
-37.15396415,33.28306284
-36.62596715,33.0368538
-36.09797016,32.79064476
-35.56997317,32.54443572
-35.04197618,32.29822668
-34.51397919,32.05201764
-33.9859822,31.8058086
-33.45798521,31.55959956
-32.92998821,31.31339052
-32.40199122,31.06718148
-31.87399423,30.82097244
-31.34599724,30.5747634
-30.81800025,30.32855436
-30.29000326,30.08234531
-29.76200627,29.83613627
-29.23400928,29.58992723
-28.70601228,29.34371819
-28.17801529,29.09750915
-27.6500183,28.85130011
-27.12202131,28.60509107
-26.59402432,28.35888203
-26.06602733,28.11267299
-25.53803034,27.86646395
-25.01003335,27.62025491
-24.48203635,27.37404587
-23.95403936,27.12783683
