Engine x,Engine y,Channel width,Rib width,Channel height,Chamber wall thickness,Channel area
-0.1896704746,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.189418535,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.18916659530000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1889146557,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.18866271599999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1884107764,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1881588367,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1879068971,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1876549574,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1874030178,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1871510782,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1868991385,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1866471989,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1863952592,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.18614331960000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.18589137990000001,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.18563944029999999,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1853875007,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.185135561,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1848836214,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1846316817,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1843797421,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1841278024,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.18387586279999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1836239231,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1833719835,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1831200439,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1828681042,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1826161646,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1823642249,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1821122853,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1818603456,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.181608406,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1813564663,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.18110452670000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1808525871,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1806006474,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1803487078,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1800967681,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1798448285,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1795928888,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.17934094920000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1790890096,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
