Engine x,Engine y,y coolant wall,Channel width,Rib width,Channel height,Chamber wall thickness,Channel area
-0.128868504,0.045,0.046,0.0026924882629412636,0.003088042219663956,0.003,0.001,8.077464788823791e-06
-0.1284018514,0.045,0.046,0.002690140845308478,0.0030903896372967417,0.003,0.001,8.070422535925433e-06
-0.1279351987,0.045,0.046,0.0026877934271726587,0.003092737055432561,0.003,0.001,8.063380281517976e-06
-0.1274685461,0.045,0.046,0.002685446009539873,0.0030950844730653466,0.003,0.001,8.056338028619619e-06
-0.1270018934,0.045,0.046,0.002683098591404054,0.0030974318912011657,0.003,0.001,8.049295774212162e-06
-0.1265352408,0.045,0.046,0.002680751173771268,0.0030997793088339515,0.003,0.001,8.042253521313804e-06
-0.1260685881,0.045,0.046,0.002678403755635449,0.0031021267269697706,0.003,0.001,8.035211266906347e-06
-0.12560193549999998,0.045,0.046,0.002676056338002663,0.0031044741446025564,0.003,0.001,8.02816901400799e-06
-0.1251352829,0.045,0.046,0.0026737089203698774,0.003106821562235342,0.003,0.001,8.021126761109632e-06
-0.12466863019999999,0.045,0.046,0.0026713615022340583,0.0031091689803711612,0.003,0.001,8.014084506702175e-06
-0.12420197760000001,0.045,0.046,0.0026690140846012725,0.003111516398003947,0.003,0.001,8.007042253803819e-06
-0.1237353249,0.045,0.046,0.0026666666664654534,0.003113863816139766,0.003,0.001,7.99999999939636e-06
-0.1232686723,0.045,0.046,0.0026643192488326676,0.003116211233772552,0.003,0.001,7.992957746498004e-06
-0.1228020197,0.045,0.046,0.002661971831199882,0.0031185586514053377,0.003,0.001,7.985915493599646e-06
-0.122335367,0.045,0.046,0.0026596244130640627,0.003120906069541157,0.003,0.001,7.97887323919219e-06
-0.12186871440000001,0.045,0.046,0.002657276995431277,0.0031232534871739426,0.003,0.001,7.971830986293832e-06
-0.12140206170000001,0.045,0.046,0.002654929577295458,0.0031256009053097617,0.003,0.001,7.964788731886375e-06
-0.1209354091,0.045,0.046,0.002652582159662672,0.0031279483229425475,0.003,0.001,7.957746478988017e-06
-0.1204687565,0.045,0.046,0.0026502347420298863,0.003130295740575333,0.003,0.001,7.950704226089659e-06
-0.1200021038,0.045,0.046,0.002647887323894067,0.0031326431587111524,0.003,0.001,7.943661971682202e-06
-0.1195354512,0.045,0.046,0.0026455399062612814,0.003134990576343938,0.003,0.001,7.936619718783844e-06
-0.1190687985,0.045,0.046,0.0026431924881254623,0.0031373379944797572,0.003,0.001,7.929577464376387e-06
-0.1186021459,0.045,0.046,0.0026408450704926765,0.003139685412112543,0.003,0.001,7.92253521147803e-06
-0.1181354932,0.045,0.046,0.0026384976523568574,0.003142032830248362,0.003,0.001,7.915492957070573e-06
-0.11766884059999999,0.045,0.046,0.0026361502347240716,0.003144380247881148,0.003,0.001,7.908450704172215e-06
-0.11720218800000001,0.045,0.046,0.002633802817091286,0.0031467276655139337,0.003,0.001,7.901408451273857e-06
