x real height,y real height
91.06964005,49.0
90.59615597615617,48.99999222190853
90.11562810703971,48.99886589228004
89.63512817590022,48.99551701850284
89.15464927143226,48.989948350980875
88.67420164221436,48.982160024054394
88.19379599308236,48.97215219624322
87.71344270071808,48.95992511128159
87.23315222709407,48.94547905080153
86.75293493203628,48.928814345315324
86.27280146249957,48.9099313715064
85.79276212648683,48.88883057331194
85.31282743380301,48.86551243162585
84.83300785372025,48.83997748646436
84.3533137613552,48.81222632638666
83.87375564343436,48.78225958405945
83.39434401383552,48.75007795491174
82.91508924271493,48.71568218745515
82.43600172926,48.679073070051395
81.95709198024679,48.64025144462153
81.47837034090483,48.59921820629418
80.99984740263932,48.55597430709484
80.52153336259991,48.51052074275418
80.04343882405388,48.4628585622232
79.56557412791908,48.412988871297955
79.08794961660128,48.36091281542937
78.61057579201528,48.30663159882608
78.1334629896713,48.250146474973434
77.65662164809251,48.19145875261457
77.18006209547754,48.1305697848316
76.7037947171785,48.067480975356126
76.22782999497711,48.00219379615346
75.75217809072014,47.93470974118558
75.27684955695682,47.86503038203722
74.80185462855506,47.79315732573822
74.32720370761612,47.7190922381634
73.85290706279514,47.64283682661086
73.37897509987027,47.56439286163
72.90541812803262,47.483762161614905
72.43224643550721,47.400946593664
71.9594702831072,47.3159480671918
71.48710002795868,47.22876855418389
71.01514601737831,47.1394100897282
70.54361834815803,47.04787471971486
70.07252743522953,46.954164579897075
69.60188354345732,46.85828184966622
69.13169684975607,46.76022874581591
68.66197759204503,46.66000753742547
68.19273603299767,46.55762055415054
67.72398242083784,46.4530701791108
67.25572689074453,46.34635882850509
66.78797969073926,46.237488986025674
66.3207510141168,46.12646318541222
65.85405102429192,46.013284008239665
65.38788984667491,45.897954075135324
64.92227763838204,45.78047606493693
64.45722461078509,45.66085272377147
63.99274084360972,45.53908683108265
63.52883643693472,45.41518121636917
63.06552147844563,45.289138757672575
62.60280613120261,45.16096240595186
62.14070043443265,45.03065514299912
61.679214447745665,44.898220006782054
61.21835815146985,44.763660064557236
60.75814170990545,44.62697848076447
60.298575113909465,44.48817844524783
59.83966827090179,44.34726317312169
59.3814312761809,44.20423597168857
58.923874095027244,44.059100183644766
58.467006627946375,43.91185918349467
58.01083891982274,43.76251643489791
57.555380890361725,43.61107543547759
57.10064234730353,43.45753969720938
56.64663328808001,43.30191283135087
56.19336363058622,43.14419849681599
55.74084317511342,42.98440037309359
55.289081782855334,42.82252220387679
54.83808934088096,42.65856780039344
54.38787560311166,42.4925409912919
53.938450410139076,42.324445681394955
53.48982358533222,42.154285831777166
53.04200483695544,41.98206542577201
52.59500390414832,41.80778850204614
52.14883066264304,41.63145920915564
51.7034946694345,41.45308165327581
51.259005644077,41.27266003449242
50.81537336359574,41.09019863728323
50.37260739827187,40.90570173895263
49.930717427325405,40.71917370216451
49.489713043673106,40.53061891760653
49.04960393618969,40.34004187371644
48.61039953483464,40.1474470202395
48.17210957569213,39.95283897159976
47.73474352270854,39.75622231163823
47.29831025749648,39.55760140096205
46.8641314901815,39.357592721037044
46.43953006099797,39.159914670100676
46.01659908824969,38.96269872549636
45.59366818283694,38.76548280230195
45.17073723823146,38.56826686548786
44.747806318231525,38.37105093548788
44.32487539828879,38.17383500551458
43.901944545603314,37.97661910691471
43.47901354823153,37.779403155487884
43.05608262823148,37.58218722548786
42.63315170824975,37.38497129549637
42.21022080287595,37.18775537232014
41.78728991099795,36.99053946010067
41.364358938231526,36.793323515487884
40.94142801824969,36.59610758549636
40.518497112836904,36.39889166230193
40.09556616827054,36.20167572550607
39.6726353010162,36.004459820109176
39.24970434283689,35.80724388230193
38.82677339823149,35.61002794548787
38.403842478231525,35.41281201548789
37.98091155828875,35.21559608551457
37.55798070560333,35.01838018691471
37.13504970823151,34.82116423548788
36.71211878823151,34.62394830548788
36.28918786824971,34.426732375496364
35.86625696287595,34.22951645232014
35.443326070997934,34.03230054010066
35.02039509823153,33.835084595487885
34.59746417824971,33.63786866549636
34.174533272836925,33.44065274230194
33.75160232823149,33.243436805487875
33.32867140827055,33.04622087550609
32.90574054101615,32.849004970109156
32.48280958283689,32.65178903230193
32.05987863823153,32.45457309548788
31.63694771823153,32.25735716548789
31.214016798288753,32.06014123551457
30.79108594560333,31.86292533691471
30.368154948231503,31.665709385487872
29.94522402824974,31.468493455496375
29.522293122836903,31.27127753230193
29.099362178270543,31.074061595506077
28.67643131099796,30.876845690100666
28.253500338249722,30.67962974549637
27.830569432836892,30.48241382230193
27.407638488231537,30.28519788548789
26.984707568270537,30.087981955506077
26.561776701016157,29.890766050109157
26.13884574283689,29.693550112301928
25.71591479823152,29.49633417548788
25.29298387823154,29.29911824548789
24.870052958249676,29.101902315496353
24.44712205287597,28.904686392320144
24.024191160997958,28.70747048010067
23.601260188231482,28.510254535487867
23.17832926824974,28.313038605496374
22.755398362836903,28.115822682301932
22.332467418270543,27.91860674550608
21.909536550997938,27.721390840100657
21.486605578249737,27.524174895496376
21.063674672836893,27.326958972301927
20.640743728231502,27.12974303548787
20.21781280828877,26.932527105514573
19.79488195560334,26.735311206914716
19.371950958231512,26.538095255487878
18.949020038231502,26.34087932548787
18.52608911824974,26.143663395496375
18.103158212875954,25.94644747232014
17.68022732099793,25.749231560100657
17.257296348231517,25.552015615487882
16.834365428249722,25.354799685496367
16.411434522836885,25.157583762301925
15.988503578270565,24.960367825506083
15.565572710997957,24.763151920100665
15.14264173824974,24.565935975496377
14.719710832836869,24.36872005230192
14.296779888231528,24.171504115487885
13.873848968231538,23.97428818548789
13.450918048288726,23.777072255514565
13.02798719560335,23.57985635691472
12.605056198231505,23.382640405487876
12.182125278231524,23.18542447548788
11.759194358249706,22.988208545496363
11.33626345287594,22.790992622320136
10.913332560997969,22.593776710100673
10.490401588231483,22.396560765487866
10.06747066824973,22.19934483549637
9.644539762836917,22.002128912301938
9.221608818270528,21.804912975506074
8.798704933310388,21.607709651996153
8.383137036165559,21.413918525663895
8.006648137063308,21.23912065193049
7.634215257647047,21.074271766832574
7.258727688290617,20.917426502920602
6.8803354627438065,20.768625605645656
6.499189554488918,20.627908291222038
