Engine + chamber wall radius,x real height
36.83274715893212,47.29831025749648
36.637890996429135,46.8641314901815
36.44099129210103,46.43953006099797
36.24377537209364,46.01659908824969
36.046559437434006,45.59366818283694
35.84934351209365,45.17073723823146
35.65212758209363,44.747806318231525
35.454911652093635,44.32487539828879
35.2576957174414,43.901944545603314
35.06047980209363,43.47901354823153
34.86326387209364,43.05608262823148
34.666047942093634,42.63315170824975
34.46883200743401,42.21022080287595
34.27161608210103,41.78728991099795
34.07440016209363,41.364358938231526
33.87718423209364,40.94142801824969
33.67996829743401,40.518497112836904
33.482752372093636,40.09556616827054
33.28553644210103,39.6726353010162
33.08832051743401,39.24970434283689
32.89110459209364,38.82677339823149
32.693888662093634,38.403842478231525
32.49667273209364,37.98091155828875
32.2994567974414,37.55798070560333
32.10224088209364,37.13504970823151
31.905024952093637,36.71211878823151
31.707809022093635,36.28918786824971
31.510593087434007,35.86625696287595
31.31337716210103,35.443326070997934
31.116161242093632,35.02039509823153
30.918945312093637,34.59746417824971
30.721729377434002,34.174533272836925
30.52451345209364,33.75160232823149
30.327297522093634,33.32867140827055
30.130081592101032,32.90574054101615
29.932865667434008,32.48280958283689
29.73564974209363,32.05987863823153
29.538433812093636,31.63694771823153
29.341217882093638,31.214016798288753
29.144001947441403,30.79108594560333
28.946786032093634,30.368154948231503
28.749570102093635,29.94522402824974
28.55235416743401,29.522293122836903
28.355138242093634,29.099362178270543
28.15792231210103,28.67643131099796
27.960706392093638,28.253500338249722
27.76349045743401,27.830569432836892
27.566274532093633,27.407638488231537
27.36905860209364,26.984707568270537
27.17184267210103,26.561776701016157
26.97462674743401,26.13884574283689
26.777410822093636,25.71591479823152
26.580194892093637,25.29298387823154
26.38297896209364,24.870052958249676
26.185763027434003,24.44712205287597
25.98854710210103,24.024191160997958
25.79133118209364,23.601260188231482
25.594115252093633,23.17832926824974
25.39689931743401,22.755398362836903
25.199683392093636,22.332467418270543
25.002467462101027,21.909536550997938
24.805251542093636,21.486605578249737
24.608035607434008,21.063674672836893
24.410819682093635,20.640743728231502
24.213603752093633,20.21781280828877
24.016387817441398,19.79488195560334
23.819171902093636,19.371950958231512
23.621955972093634,18.949020038231502
23.424740042093635,18.52608911824974
23.227524107434007,18.103158212875954
23.03030818210103,17.68022732099793
22.833092262093633,17.257296348231517
22.635876332093638,16.834365428249722
22.43866039743401,16.411434522836885
22.241444472093633,15.988503578270565
22.044228542101028,15.565572710997957
21.847012622093636,15.14264173824974
21.649796687434012,14.719710832836869
21.452580762093632,14.296779888231528
21.255364832093637,13.873848968231538
21.05814890209364,13.450918048288726
20.8609329674414,13.02798719560335
20.663717052093638,12.605056198231505
20.466501122093636,12.182125278231524
20.269285192093637,11.759194358249706
20.072069257434006,11.33626345287594
19.87485333210103,10.913332560997969
19.677637412093638,10.490401588231483
19.480421482093632,10.06747066824973
19.283205547434005,9.644539762836917
19.08598962209364,9.221608818270528
18.888773692101026,8.798704933310388
18.691351342637123,8.383137036165559
18.493865861583267,8.006648137063308
18.304190621177028,7.634215257647047
18.12375891993917,7.258727688290617
17.95261840342665,6.8803354627438065
17.790814970611674,6.499189554488918
17.6383925786864,6.115442177236212
17.49539312900503,5.729246752192553
17.361856371338813,5.340757590159881
17.237819773567793,4.9501299314920075
17.123318420713904,4.557519946303593
17.018384936810648,4.163084639461974
16.923049408344497,3.766981666733669
16.83733929789002,3.369369521581451
16.761279406587377,2.9704072202469156
16.694891803190746,2.5702543028205995
16.638195771157307,2.169070909717883
16.59120778517774,1.767017490996994
16.55394145826729,1.3642549571424774
16.526407529517243,0.9609443630961843
16.50861381714571,0.5572470741141522
16.500565216002606,0.08770404774585017
16.509072476098513,-0.6346503887453117
16.557413106565026,-1.373531775973329
16.64877300227554,-2.1022765389124896
16.782949563464314,-2.8154848562251047
16.959678602067164,-3.2859977485515537
17.13965722744542,-3.640960639516234
17.305121899124586,-4.072500287515577
17.469881425500493,-4.504305515240708
17.633935223007576,-4.936375097199668
17.797282682915213,-5.368707966712436
17.959923198061237,-5.801303018527874
18.121856159521343,-6.234159574096969
18.283081031036794,-6.667275952879784
18.44359717268032,-7.10065174082167
18.603404065535877,-7.534285512751368
18.762501133404065,-7.968176100772514
18.920887789731996,-8.402322954830474
19.078563545400417,-8.836724332337027
19.235527800796493,-9.271379697353808
19.39178005819183,-9.706287649643427
19.547319770974063,-10.141447321779792
19.702146436276053,-10.576857514385026
19.85625953669016,-11.012517025902167
20.009658549055903,-11.448425122454097
20.162343011633457,-11.884580380243555
20.314312416026187,-12.320981877994734
20.465566285238783,-12.757628313358019
20.616104124622726,-13.194518775119892
20.765925479402267,-13.63165233808868
20.915029921959203,-14.069027337388134
21.063416945894033,-14.506643143003117
21.211086128280847,-14.944498561859154
21.35803704895676,-15.38259235517314
21.504269265861375,-15.820923366176693
21.64978233938706,-16.25949085257203
21.794575900423546,-16.698293094240267
21.9386494935044,-17.13732934343279
22.082002727670226,-17.576598606560996
22.224635244001796,-18.016099482942458
22.366546645733777,-18.45583076637477
22.50773652852948,-18.8957915575002
22.648204541069564,-19.335980826695586
22.78795035139946,-19.776396882524676
22.92697355305443,-20.217039324359394
23.06527385840417,-20.65790624210847
23.202850866666108,-21.098997244612526
23.33970431006973,-21.540310494285478
23.475833812287593,-21.981845434728967
23.611239106422797,-22.42360038029207
23.745919843017187,-22.865574694461344
23.879875762186266,-23.307766795874276
24.013106551707395,-23.75017568418003
24.14561191951635,-24.19280025911562
24.277391607305354,-24.63563928055311
24.408445336380318,-25.078691676133765
24.53877285757272,-25.52195620310318
24.668373923568762,-25.9654315384783
24.797248257544457,-26.409116946946025
24.925395668777234,-26.853010747580008
25.05281588885224,-27.297112146387157
25.17950871803894,-27.741419766784446
25.305473934671113,-28.185932522697808
25.430711336609583,-28.630649233902098
25.555220729918247,-29.075568730706895
25.67900193060462,-29.520689748564468
25.802054748737977,-29.966011084689857
25.924378996074804,-30.411531818009838
26.045974542890157,-30.857250401053125
26.166841196495774,-31.30316589431916
26.28697882122963,-31.74927700865976
26.40638726869032,-32.19558275384747
26.525066434475157,-32.64208150517394
26.643016140458545,-33.088772509689576
26.760236300490078,-33.53565441986884
26.876726806011796,-33.982725120150775
26.99258595531394,-34.43036607744268
27.107573691886053,-34.877650188482036
27.22184392476597,-35.325164352914435
27.335396379732558,-35.77291007058473
27.448231028854096,-36.22558483058474
